INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Абрамова', 'Александра', 'Ивановна', 'Ж', '1943-05-29');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Андрейко', 'Родион', 'Викторович', 'М', '1943-05-29');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Анисимова', 'Шушана', 'Вадимовна', 'Ж', '1946-02-20');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Анисимова', 'Ольга', 'Станиславовна', 'Ж', '1946-02-20');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Антонов', 'Цицерон', 'Васильевич', 'М', '1946-02-20');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Антонов', 'Йоханес', 'Фёдорович', 'М', '1954-02-05');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Архипов', 'Йоган', 'Фёдорович', 'М', '1954-02-05');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Архипова', 'Клементина', 'Виталиевна', 'Ж', '1954-02-05');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Баранова', 'Ника', 'Максимовна', 'Ж', '1954-02-05');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Батейко', 'Чилита', 'Леонидовна', 'Ж', '1932-06-05');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Белова', 'Клементина', 'Ярославовна', 'Ж', '1932-06-05');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Боброва', 'Шанетта', 'Валерьевна', 'Ж', '1932-06-05');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Бобылёв', 'Ярослав', 'Борисович', 'М', '1952-11-08');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Бобылёва', 'Зоя', 'Евгеньевна', 'Ж', '1952-11-08');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Богданов', 'Юрий', 'Данилович', 'М', '1934-03-11');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Борисова', 'Доминика', 'Львовна', 'Ж', '1934-03-11');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Василенко', 'Светлана', 'Викторовна', 'Ж', '1934-03-11');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Виноградова', 'Лада', 'Валерьевна', 'Ж', '1951-06-28');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Власова', 'Йолана', 'Фёдоровна', 'Ж', '1951-06-28');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Волков', 'Йосып', 'Леонидович', 'М', '1951-06-28');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Гаврилов', 'Никодим', 'Платонович', 'М', '1950-07-02');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Гамула', 'Жигер', 'Богданович', 'М', '1950-07-02');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Гелетей', 'Матвей', 'Викторович', 'М', '1950-07-02');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Горбунов', 'Юлий', 'Виталиевич', 'М', '1939-10-20');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Горобчук', 'Ульяна', 'Артёмовна', 'Ж', '1961-11-27');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Горшков', 'Эдуард', 'Максимович', 'М', '1949-02-20');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Гусева', 'Люся', 'Эдуардовна', 'Ж', '1949-02-20');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Гущина', 'Борислава', 'Станиславовна', 'Ж', '1949-02-20');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Дементьев', 'Георгий', 'Вадимович', 'М', '1955-11-03');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Дементьев', 'Йомер', 'Романович', 'М', '1937-01-14');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Дзюба', 'Йоханес', 'Борисович', 'М', '1937-01-14');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Дидовец', 'Цилла', 'Львовна', 'Ж', '1937-01-14');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Дидовец', 'Жанна', 'Львовна', 'Ж', '1971-05-28');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Дмитриева', 'Эрика', 'Эдуардовна', 'Ж', '1934-07-27');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Дубченко', 'Богдан', 'Артёмович', 'М', '1970-03-17');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Дьячков', 'Игорь', 'Львович', 'М', '1970-03-17');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Евсеева', 'Гертруда', 'Фёдоровна', 'Ж', '1970-03-17');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Емельянова', 'Устинья', 'Фёдоровна', 'Ж', '1970-03-17');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Ерёменко', 'Харитон', 'Эдуардович', 'М', '1970-03-17');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Ерёменко', 'Трофим', 'Валерьевич', 'М', '1955-03-31');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Ерёменко', 'Жасмин', 'Борисовна', 'Ж', '1955-03-31');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Ерёменко', 'Анфиса', 'Сергеевна', 'Ж', '1990-02-12');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Ершов', 'Казбек', 'Станиславович', 'М', '1929-08-08');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Ефимов', 'Валентин', 'Юхимович', 'М', '1929-08-08');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Желиба', 'Таисия', 'Максимовна', 'Ж', '1929-08-08');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Житар', 'Олег', 'Вадимович', 'М', '1944-05-23');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Житар', 'Жерар', 'Виталиевич', 'М', '1936-02-05');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Забужко', 'Филипп', 'Валерьевич', 'М', '1933-06-03');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Забужко', 'Диана', 'Ярославовна', 'Ж', '1933-06-03');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Зайцев', 'Эдуард', 'Владимирович', 'М', '1933-06-03');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Зайцева', 'Цара', 'Васильевна', 'Ж', '1937-11-28');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Зайцева', 'Глафира', 'Андреевна', 'Ж', '1937-11-28');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Захарова', 'Цара', 'Вадимовна', 'Ж', '1940-01-28');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Захарченко', 'Николай', 'Эдуардович', 'М', '1939-04-17');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Зварыч', 'Матвей', 'Владимирович', 'М', '1939-04-17');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Зиновьева', 'Флорентина', 'Алексеевна', 'Ж', '1928-08-07');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Зуев', 'Устин', 'Максимович', 'М', '1928-08-07');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Зуев', 'Заур', 'Михайлович', 'М', '1929-01-19');
INSERT INTO human ( lastname, firstname, patronymic, sex, birthdate ) VALUES ('Зуева', 'Октябрина', 'Валерьевна', 'Ж', '1929-01-19');
